id,query,scholar_name,scholar_urdu,scholar_born,scholar_country,scholar_languages,scholar_specialization,scholar_known_for,scholar_books,scholar_youtube,scholar_followers_millions,scholar_style,scholar_audience,category,topic,intent,language,answer,label,label_id
29,Tariq Jameel ne Akhirat par kya kaha?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,topic,Akhirat,information,english,"Tariq Jameel ne Akhirat par bohat detail se baat ki hai. Unke is topic ke lectures 'Maulana Tariq Jameel Official' pe available hain. Woh Tablighi Dawah, Spiritual Reform ke expert hain isliye unki baat qabil e amal hai.",Tariq Jameel,0
30,Tariq Jameel views on Seerat,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,topic,Seerat,information,english,"Tariq Jameel ne Seerat par bohat detail se baat ki hai. Unke is topic ke lectures 'Maulana Tariq Jameel Official' pe available hain. Woh Tablighi Dawah, Spiritual Reform ke expert hain isliye unki baat qabil e amal hai.",Tariq Jameel,0
31,طارق جمیل ka Seerat ke barey mein lecture,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,topic,Seerat,information,english,"Tariq Jameel ne Seerat par bohat detail se baat ki hai. Unke is topic ke lectures 'Maulana Tariq Jameel Official' pe available hain. Woh Tablighi Dawah, Spiritual Reform ke expert hain isliye unki baat qabil e amal hai.",Tariq Jameel,0
32,What does Tariq Jameel say about Rishtay?,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,topic,Rishtay,information,english,"Tariq Jameel ne Rishtay par bohat detail se baat ki hai. Unke is topic ke lectures 'Maulana Tariq Jameel Official' pe available hain. Woh Tablighi Dawah, Spiritual Reform ke expert hain isliye unki baat qabil e amal hai.",Tariq Jameel,0
33,Tariq Jameel Duniya ki Haqeeqat explanation,Tariq Jameel,طارق جمیل,1953,Pakistan,Urdu,Tablighi Dawah|Spiritual Reform|Hadith,"Emotional bayans, celebrity conversions, Tablighi Jamaat",Islah e Muashra|Seerat e Nabawi,Maulana Tariq Jameel Official,8.5,Emotional,General Muslim Public,topic,Duniya ki Haqeeqat,information,english,"Tariq Jameel ne Duniya ki Haqeeqat par bohat detail se baat ki hai. Unke is topic ke lectures 'Maulana Tariq Jameel Official' pe available hain. Woh Tablighi Dawah, Spiritual Reform ke expert hain isliye unki baat qabil e amal hai.",Tariq Jameel,0
34,Ibtasim Illahi Zaheer ki zindagi ke barey mein batao,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",biography,Fiqh,information,english,"Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) 1975 mein Pakistan mein paida hue. Woh Ahl-e-Hadith Fiqh, Comparative Religion mein mahir hain. Woh Scholarly debates, Ahl-e-Hadith scholarship, TV programs ke liye mashoor hain. Unka andaz Scholarly/Analytical hai aur yeh Religious Students, Scholars ke liye kaam karte hain.",Ibtasim Illahi Zaheer,1
35,Who is Ibtasim Illahi Zaheer?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",biography,Aqeedah,information,english,"Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) 1975 mein Pakistan mein paida hue. Woh Ahl-e-Hadith Fiqh, Comparative Religion mein mahir hain. Woh Scholarly debates, Ahl-e-Hadith scholarship, TV programs ke liye mashoor hain. Unka andaz Scholarly/Analytical hai aur yeh Religious Students, Scholars ke liye kaam karte hain.",Ibtasim Illahi Zaheer,1
36,ابتسام الٰہی ظہیر kab paida hue?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",biography,Fiqh,information,english,"Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) 1975 mein Pakistan mein paida hue. Woh Ahl-e-Hadith Fiqh, Comparative Religion mein mahir hain. Woh Scholarly debates, Ahl-e-Hadith scholarship, TV programs ke liye mashoor hain. Unka andaz Scholarly/Analytical hai aur yeh Religious Students, Scholars ke liye kaam karte hain.",Ibtasim Illahi Zaheer,1
37,Ibtasim Illahi Zaheer ka background kya hai?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",biography,Family Law,information,english,"Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) 1975 mein Pakistan mein paida hue. Woh Ahl-e-Hadith Fiqh, Comparative Religion mein mahir hain. Woh Scholarly debates, Ahl-e-Hadith scholarship, TV programs ke liye mashoor hain. Unka andaz Scholarly/Analytical hai aur yeh Religious Students, Scholars ke liye kaam karte hain.",Ibtasim Illahi Zaheer,1
38,Tell me about Ibtasim Illahi Zaheer,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",biography,Fiqh,information,english,"Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) 1975 mein Pakistan mein paida hue. Woh Ahl-e-Hadith Fiqh, Comparative Religion mein mahir hain. Woh Scholarly debates, Ahl-e-Hadith scholarship, TV programs ke liye mashoor hain. Unka andaz Scholarly/Analytical hai aur yeh Religious Students, Scholars ke liye kaam karte hain.",Ibtasim Illahi Zaheer,1
39,ابتسام الٰہی ظہیر ki family ke barey mein,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",biography,Fiqh,information,english,"Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) 1975 mein Pakistan mein paida hue. Woh Ahl-e-Hadith Fiqh, Comparative Religion mein mahir hain. Woh Scholarly debates, Ahl-e-Hadith scholarship, TV programs ke liye mashoor hain. Unka andaz Scholarly/Analytical hai aur yeh Religious Students, Scholars ke liye kaam karte hain.",Ibtasim Illahi Zaheer,1
40,Ibtasim Illahi Zaheer early life,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",biography,Aqeedah,information,english,"Ibtasim Illahi Zaheer (ابتسام الٰہی ظہیر) 1975 mein Pakistan mein paida hue. Woh Ahl-e-Hadith Fiqh, Comparative Religion mein mahir hain. Woh Scholarly debates, Ahl-e-Hadith scholarship, TV programs ke liye mashoor hain. Unka andaz Scholarly/Analytical hai aur yeh Religious Students, Scholars ke liye kaam karte hain.",Ibtasim Illahi Zaheer,1
41,Ibtasim Illahi Zaheer ki best taqreer kaun si hai?,Ibtasim Illahi Zaheer,ابتسام الٰہی ظہیر,1975,Pakistan,Urdu|Arabic|English,Ahl-e-Hadith Fiqh|Comparative Religion|Dawah,"Scholarly debates, Ahl-e-Hadith scholarship, TV programs",Islam Ka Nizam e Zindagi|Maktaba Ibtasim,Ibtasim Ilahi Zaheer Official,2.1,Scholarly/Analytical,"Religious Students, Scholars",lectures,Family Law,lecture_search,english,"Ibtasim Illahi Zaheer ke Family Law par bohat ache bayans hain. Aap unka YouTube channel 'Ibtasim Ilahi Zaheer Official' pe dekh sakte hain. Unke approximately 2.1 million followers hain. Unka style Scholarly/Analytical hai jo Religious Students, Scholars ko pasand hai.",Ibtasim Illahi Zaheer,1
